probability,move,scenario_no,loss,move_no
[0.9999672],2,2,[2.0310466],11056
[0.9999037],5,5,[2.0311048],11057
[0.9999056],7,7,[2.0311031],11058
[0.99990356],12,12,[2.0311048],11059
[0.9999038],12,12,[2.0311048],11060
[0.99990284],13,13,[2.0311055],11061
[0.9998416],18,18,[2.0311618],11062
[0.9999064],7,7,[2.0311024],11063
[0.99994314],1,1,[2.0310686],11064
[0.9998956],11,11,[2.0311122],11065
[0.99986506],9,9,[2.03114],11066
[0.9999074],7,7,[2.0311015],11067
[0.9998441],18,18,[2.0311594],11068
[0.9998903],17,17,[2.0311172],11069
[0.99996924],3,3,[2.0310447],11070
[0.9998869],6,6,[2.0311203],11071
[0.9998448],4,4,[2.031159],11072
[0.99984705],18,18,[2.0311568],11073
[0.99988794],6,6,[2.0311193],11074
[0.99987066],10,10,[2.031135],11075
[0.99989176],17,17,[2.0311158],11076
[0.9998472],4,4,[2.0311565],11077
[0.99989045],6,6,[2.031117],11078
[0.9998964],11,11,[2.0311115],11079
[0.9999038],13,13,[2.0311048],11080
[0.9998927],6,6,[2.0311148],11081
[0.99994373],1,1,[2.031068],11082
[0.99989736],11,11,[2.0311105],11083
[0.9998728],10,10,[2.0311332],11084
[0.9998388],15,15,[2.0311642],11085
[0.99983895],15,15,[2.0311642],11086
[0.99991095],7,7,[2.0310981],11087
[0.99994457],14,14,[2.0310674],11088
[0.9999441],1,1,[2.0310678],11089
[0.99990475],13,13,[2.0311038],11090
[0.9999118],7,7,[2.0310974],11091
[0.9998995],11,11,[2.0311086],11092
[0.9999448],14,14,[2.0310671],11093
[0.9998554],18,18,[2.0311491],11094
[0.9999058],13,13,[2.031103],11095
[0.9996861],8,8,[2.0313044],11096
[0.99985266],4,4,[2.0311515],11097
[0.9999013],11,11,[2.031107],11098
[0.9998982],6,6,[2.0311098],11099
[0.9998567],18,18,[2.031148],11100
[0.9998073],19,19,[2.0311933],11101
[0.9999279],16,16,[2.0310826],11102
[0.99996924],3,3,[2.0310447],11103
[0.9998939],17,17,[2.0311139],11104
[0.99984396],15,15,[2.0311596],11105
[0.999928],16,16,[2.0310826],11106
[0.999915],7,7,[2.0310946],11107
[0.9999013],12,12,[2.031107],11108
[0.9999695],3,3,[2.0310445],11109
[0.9999083],13,13,[2.0311005],11110
[0.99989474],17,17,[2.031113],11111
[0.9999665],2,2,[2.031047],11112
[0.9999088],13,13,[2.0311],11113
[0.9999155],7,7,[2.0310938],11114
[0.9998591],18,18,[2.0311458],11115
[0.99980956],19,19,[2.031191],11116
[0.9999013],12,12,[2.031107],11117
[0.9998485],15,15,[2.0311553],11118
[0.9999453],1,1,[2.0310667],11119
[0.9999045],11,11,[2.0311038],11120
[0.99990356],5,5,[2.0311048],11121
[0.9999037],5,5,[2.0311048],11122
[0.99996674],2,2,[2.0310469],11123
[0.99968696],8,8,[2.0313036],11124
[0.9999045],5,5,[2.031104],11125
[0.9998124],19,19,[2.0311885],11126
[0.9998511],15,15,[2.031153],11127
[0.9999056],11,11,[2.0311031],11128
[0.9998958],17,17,[2.031112],11129
[0.99996984],3,3,[2.0310442],11130
[0.9998704],10,10,[2.0311353],11131
[0.99969614],8,8,[2.031295],11132
[0.9998958],6,6,[2.0311122],11133
[0.9999118],13,13,[2.0310974],11134
[0.99990225],12,12,[2.031106],11135
[0.999946],1,1,[2.031066],11136
[0.9997056],8,8,[2.0312865],11137
[0.999897],6,6,[2.031111],11138
[0.9999454],14,14,[2.0310667],11139
[0.9999074],11,11,[2.0311015],11140
[0.99994636],1,1,[2.0310657],11141
[0.9998616],9,9,[2.0311434],11142
[0.9998179],19,19,[2.0311835],11143
[0.99986184],9,9,[2.0311432],11144
[0.9998622],9,9,[2.031143],11145
[0.999843],4,4,[2.0311606],11146
[0.99996686],2,2,[2.0310469],11147
[0.9998915],17,17,[2.031116],11148
[0.999967],2,2,[2.0310469],11149
[0.9999076],5,5,[2.0311012],11150
[0.99990773],5,5,[2.0311012],11151
[0.99984384],4,4,[2.0311596],11152
[0.9999281],16,16,[2.0310824],11153
[0.99992824],16,16,[2.0310824],11154
[0.99985135],18,18,[2.031153],11155
[0.99992883],16,16,[2.0310817],11156
[0.99990976],5,5,[2.031099],11157
[0.9999454],14,14,[2.0310667],11158
