probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.5471862],5,5,2,3,[5.9102316],229
[0.6739281],5,5,12,9,[5.984408],230
[0.6984862],5,5,19,17,[6.0049047],231
[0.6821283],5,5,14,6,[6.014207],232
[0.6848081],5,5,7,15,[6.009016],233
[0.69809264],5,5,18,14,[6.0013905],234
[0.7084038],5,5,9,5,[5.2146645],235
[0.5633569],5,5,2,10,[5.991802],236
[0.6467375],5,5,18,15,[5.996831],237
[0.6688019],5,5,11,9,[5.994769],238
[0.45504627],5,5,8,12,[5.825209],239
[0.64872986],5,5,18,5,[5.2155886],240
[0.49444327],5,5,8,10,[5.850973],241
[0.38076138],5,5,8,3,[5.6877785],242
[0.3523984],5,5,8,12,[5.7468963],243
[0.3344374],5,5,8,2,[5.759205],244
[0.41793165],5,5,17,11,[5.9589114],245
[0.55664134],5,5,9,14,[5.9966984],246
[0.3896894],5,5,15,1,[5.911459],247
[0.41483486],5,5,9,15,[5.9859943],248
[0.23328426],5,5,7,3,[5.7800446],249
[0.28043768],5,5,10,7,[5.9542007],250
[0.38587925],5,8,5,17,[5.547448],251
[0.25132856],8,5,8,1,[5.4430256],252
[0.25668526],5,8,15,7,[5.9679384],253
[0.31096417],8,8,12,7,[5.9233646],254
[0.37079898],8,8,17,2,[5.9780073],255
[0.35377228],8,8,16,12,[5.9400916],256
[0.25485763],8,8,6,9,[5.9687753],257
[0.35342598],8,5,15,18,[5.972298],258
[0.28245258],5,8,1,5,[5.4191318],259
[0.31729615],8,8,1,12,[5.8545256],260
[0.3299321],8,8,19,2,[5.984414],261
[0.31539947],8,8,15,2,[5.9866567],262
[0.25062263],5,5,1,14,[5.8575745],263
[0.23248719],8,5,18,16,[5.95895],264
[0.20358185],5,5,1,15,[5.8290024],265
[0.27859196],8,5,8,4,[5.3817215],266
[0.30297205],5,5,19,14,[5.9848213],267
[0.22530049],8,5,13,18,[5.9714317],268
[0.35853714],5,5,4,19,[5.9101467],269
[0.24529135],8,5,4,17,[5.897235],270
[0.2529004],1,8,1,13,[5.750026],271
[0.24974108],5,5,5,19,[5.3760514],272
[0.22821257],8,8,16,3,[5.812682],273
[0.23815624],5,8,10,14,[5.9704075],274
[0.24275327],1,1,4,16,[5.89662],275
[0.21988353],8,1,13,18,[5.9698887],276
[0.3270232],8,5,15,8,[5.4628916],277
[0.29401982],1,1,9,16,[5.967431],278
[0.23977213],5,5,18,4,[5.877902],279
[0.27241182],8,1,11,8,[5.3753414],280
