probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.33695993],8,8,12,16,[5.883195],183
[0.33688825],8,8,16,8,[5.62294],184
[0.3489037],8,8,8,15,[5.641015],185
[0.37159544],8,8,1,6,[5.953948],186
[0.39087626],8,8,10,16,[5.9500504],187
[0.4072861],8,8,3,4,[5.9032845],188
[0.41875407],8,8,17,4,[5.961919],189
[0.42745876],8,8,2,7,[5.9305058],190
[0.43256697],8,8,7,14,[5.940115],191
[0.43441394],8,8,3,2,[5.9000664],192
[0.43242067],8,8,14,19,[5.9545145],193
[0.42816252],8,8,17,4,[5.961182],194
[0.42302242],8,8,11,9,[5.8897457],195
[0.41376415],8,8,11,16,[5.8943243],196
[0.40251252],8,8,17,2,[5.95393],197
[0.3901294],8,8,3,17,[5.885585],198
[0.37610134],8,8,4,11,[5.901705],199
[0.36087072],8,8,18,10,[5.982647],200
[0.346383],8,8,15,13,[5.97959],201
[0.33289278],8,8,5,2,[5.9450555],202
[0.31901842],8,8,7,3,[5.8278008],203
[0.3039422],8,8,10,13,[5.9701667],204
[0.29030097],8,8,16,18,[5.945034],205
[0.27699384],8,8,12,9,[5.8824368],206
[0.263962],8,8,4,7,[5.9039493],207
[0.25195128],8,8,8,15,[5.7340555],208
[0.24831188],8,8,11,13,[5.884377],209
[0.24413803],8,8,7,12,[5.863226],210
[0.23914558],8,8,8,12,[5.6913238],211
[0.24153906],8,8,1,5,[5.9626875],212
[0.24322806],8,8,9,5,[5.917693],213
[0.24372798],8,8,2,15,[5.951441],214
[0.24378636],8,8,18,5,[5.96725],215
[0.24284913],8,8,13,1,[5.9737806],216
[0.24203967],8,8,1,3,[5.859379],217
[0.23972507],8,8,11,16,[5.8439226],218
[0.23559654],8,8,14,3,[5.846833],219
[0.23040041],8,8,13,5,[5.9519873],220
[0.22488403],8,8,10,13,[5.9631033],221
[0.22027478],8,8,19,15,[5.951762],222
[0.2153833],8,8,8,5,[5.7487726],223
[0.21659483],8,8,6,7,[5.8894687],224
[0.21692383],8,8,12,9,[5.868441],225
[0.2164262],8,8,7,1,[5.9088736],226
[0.21519026],8,8,16,11,[5.8391123],227
[0.21259426],8,8,16,11,[5.837241],228
[0.20890638],8,8,11,9,[5.829629],229
[0.20396508],8,8,10,7,[5.895347],230
[0.19912383],8,8,15,10,[5.966693],231
[0.19423115],8,8,9,16,[5.88365],232
[0.18921423],8,8,15,12,[5.9114304],233
[0.18439516],8,8,5,12,[5.88764],234
[0.17979251],8,8,5,7,[5.8694],235
[0.17481248],8,8,14,10,[5.95965],236
[0.17032288],8,8,17,14,[5.9549937],237
[0.16599196],8,8,4,7,[5.8718295],238
[0.16193697],8,8,14,9,[5.914694],239
[0.15764025],8,8,10,16,[5.9144707],240
[0.1535848],8,8,1,7,[5.8753104],241
[0.1493811],8,8,17,13,[5.953785],242
[0.14580867],8,8,15,10,[5.9602404],243
[0.1419421],8,8,12,10,[5.8908854],244
[0.13867976],8,8,15,11,[5.8490906],245
[0.13491665],8,11,12,17,[5.886072],246
[0.13632885],7,7,14,8,[5.844458],247
[0.13751984],7,7,15,3,[5.8710423],248
[0.1383191],7,7,9,4,[5.9035797],249
[0.13855796],7,7,2,14,[5.946746],250
[0.13857654],7,7,18,12,[5.8979564],251
[0.13829726],7,7,9,4,[5.9010057],252
[0.13750972],7,7,12,10,[5.8662786],253
[0.13629152],7,7,10,13,[5.949368],254
[0.13489518],7,7,13,8,[5.855461],255
[0.13328078],7,7,18,10,[5.961694],256
[0.13146271],7,7,8,10,[5.838667],257
[0.1292052],7,7,11,9,[5.7942114],258
[0.1287736],8,8,12,17,[5.8469353],259
[0.13021563],8,8,8,11,[5.740856],260
[0.13368876],8,8,15,8,[5.8452177],261
[0.13897286],8,8,17,12,[5.8359594],262
[0.1438108],8,8,9,17,[5.8897295],263
[0.1476854],8,8,6,12,[5.8298583],264
[0.15477106],12,12,3,6,[5.890421],265
[0.16281708],12,12,5,9,[5.8851147],266
[0.16885541],12,12,11,10,[5.830971],267
[0.17336883],12,12,2,13,[5.9550815],268
[0.17725691],12,12,19,12,[5.801346],269
[0.18695483],12,12,2,17,[5.9454513],270
[0.1949],12,12,13,16,[5.9424367],271
[0.20216437],12,12,15,10,[5.941271],272
[0.20800732],12,12,9,16,[5.8708997],273
[0.21171482],12,12,18,11,[5.8651223],274
[0.21321613],12,12,11,3,[5.7911644],275
[0.2126474],12,12,19,14,[5.964178],276
[0.2118951],12,12,2,16,[5.9334354],277
[0.21033138],12,12,11,17,[5.8221774],278
[0.20661367],12,12,7,1,[5.9266176],279
[0.20303038],12,12,17,4,[5.951536],280
[0.1993801],12,12,18,2,[5.967905],281
[0.19510967],12,12,14,1,[5.9755282],282
[0.19150461],12,12,13,2,[5.9538107],283
[0.18785688],12,12,14,12,[5.792977],284
[0.19083925],12,12,4,9,[5.8871408],285
[0.1928039],12,12,18,15,[5.979821],286
[0.19352837],12,12,1,3,[5.919188],287
[0.19401622],12,12,5,13,[5.959634],288
[0.19406171],12,12,5,12,[5.7818203],289
[0.19995673],12,12,7,11,[5.747321],290
[0.20393303],12,12,2,8,[5.8609333],291
[0.20603879],12,12,18,15,[5.979945],292
[0.20747164],12,12,10,15,[5.9438],293
[0.20838822],12,12,13,5,[5.958871],294
[0.20856647],12,12,19,1,[5.976025],295
[0.20883629],12,12,2,10,[5.926856],296
[0.20792279],12,12,13,11,[5.7773066],297
[0.20804697],11,11,9,11,[5.702047],298
[0.21926877],11,11,13,5,[5.956423],299
[0.22970699],11,11,16,4,[5.9450326],300
[0.23865338],11,11,2,7,[5.911709],301
[0.24572033],11,11,18,15,[5.978592],302
[0.25217703],11,11,3,1,[5.924672],303
[0.2569529],11,11,7,12,[5.771819],304
[0.25805816],11,11,10,4,[5.9391766],305
[0.25806877],11,11,9,15,[5.8959846],306
[0.2565697],11,11,14,17,[5.9569006],307
[0.254832],11,11,18,12,[5.8221774],308
[0.25059566],11,11,15,1,[5.9733067],309
[0.24650866],11,11,6,1,[5.976719],310
[0.2424898],11,11,1,6,[5.9765387],311
[0.23851405],11,11,6,2,[5.9475737],312
[0.23456024],11,11,19,15,[5.9627523],313
[0.23066217],11,11,9,16,[5.875329],314
[0.22571737],11,11,9,6,[5.8900995],315
[0.2202204],11,11,16,10,[5.919174],316
[0.21442367],11,11,9,6,[5.880503],317
[0.20802405],11,11,9,14,[5.8742685],318
[0.20106441],11,11,14,6,[5.963598],319
[0.19452967],11,11,14,8,[5.9019375],320
[0.18828751],11,11,1,7,[5.9294868],321
[0.18171974],11,11,13,17,[5.9477253],322
[0.1757214],11,11,3,15,[5.905876],323
[0.16994447],11,11,4,9,[5.824771],324
[0.163947],9,9,4,16,[5.9411273],325
[0.17332035],9,9,11,9,[5.6651683],326
