probability,move1,move2,scenario_no1,scenario_no2,loss,move_no
[0.3077361],16,16,6,19,[5.975435],194
[0.3029174],12,16,10,11,[6.001251],195
[0.4942053],12,5,2,1,[5.981868],196
[0.28864992],5,5,4,1,[5.9391136],197
[0.39207834],5,5,18,1,[5.980768],198
[0.26797873],12,5,18,11,[5.9956713],199
[0.27426496],12,5,2,6,[5.989423],200
[0.47239894],16,5,16,1,[5.5915236],201
[0.3336853],12,12,19,13,[5.971837],202
[0.33788356],5,5,10,1,[5.968184],203
[0.28573403],5,16,8,15,[5.996545],204
[0.31700683],12,16,3,6,[5.9130907],205
[0.20203885],5,5,5,10,[5.118973],206
[0.2007571],16,16,6,4,[5.913413],207
[0.3092817],16,12,11,16,[5.456653],208
[0.5175607],5,16,7,14,[5.940848],209
[0.28713664],5,12,13,5,[5.182023],210
[0.36750296],16,16,11,18,[5.9872017],211
[0.35966742],16,16,1,16,[5.2662573],212
[0.6417289],5,16,19,15,[5.975726],213
[0.78686404],16,5,17,15,[5.9941406],214
[0.42792168],16,16,17,13,[5.9896746],215
[0.4361622],16,16,4,17,[5.9120197],216
[0.43237144],16,16,8,3,[5.919798],217
[0.28313577],16,16,4,2,[5.8809566],218
[0.36418042],16,16,12,1,[5.799385],219
[0.26533398],16,5,6,8,[5.999427],220
[0.3936383],16,16,18,1,[5.8949347],221
[0.22235434],5,5,2,4,[5.8497066],222
[0.23884861],5,16,9,5,[5.056857],223
[0.45064068],5,16,5,7,[5.075365],224
[0.20970367],16,5,7,4,[5.771675],225
[0.1878466],5,12,5,13,[5.088623],226
[0.27262607],5,16,6,14,[6.0038404],227
[0.23420456],5,16,6,14,[6.004138],228
[0.20749643],4,4,6,9,[5.9438944],229
[0.24361597],16,4,7,11,[5.9360847],230
[0.31664512],5,4,14,7,[5.934204],231
[0.29947993],5,5,9,1,[5.839003],232
[0.27970427],12,4,13,18,[5.981843],233
[0.24658471],5,12,13,5,[5.0797553],234
[0.26854816],4,4,6,11,[5.991313],235
[0.28066498],12,4,13,8,[5.991485],236
[0.24938303],4,4,6,1,[5.8379173],237
[0.20501226],4,12,4,2,[5.728407],238
[0.25448358],5,4,15,11,[5.9929814],239
[0.25009072],4,4,11,8,[5.9901333],240
[0.27396333],4,4,6,10,[5.985857],241
[0.6511851],4,5,15,4,[5.743621],242
[0.30397952],5,4,10,5,[5.0750256],243
[0.3373293],12,4,19,12,[5.5971737],244
[0.2922632],4,4,1,6,[5.747822],245
[0.35953707],5,4,5,2,[5.082259],246
[0.27009913],4,4,18,3,[5.9058695],247
[0.36079958],12,4,10,13,[5.9897995],248
[0.29737857],4,4,11,15,[5.982314],249
[0.2674878],1,16,1,16,[5.445019],250
[0.38942838],1,1,9,1,[5.5235996],251
[0.38315827],5,1,5,18,[5.0886784],252
[0.45865023],1,1,14,16,[5.829505],253
[0.30977786],1,12,11,18,[5.9833326],254
[0.5212077],1,1,1,18,[5.3727283],255
[0.55195403],5,1,5,4,[5.012929],256
[0.4444805],12,1,14,12,[5.379223],257
[0.47719407],16,12,2,16,[5.564075],258
[0.5373369],1,1,15,19,[5.9915214],259
[0.2663042],1,1,11,15,[5.996702],260
[0.29695752],12,1,2,10,[5.9980335],261
[0.4866936],5,16,5,6,[5.059823],262
[0.6535146],16,12,7,13,[5.994709],263
[0.43906057],16,1,9,7,[5.9688606],264
[0.44350898],12,16,3,10,[5.9802523],265
[0.88512504],16,5,18,15,[6.0145416],266
[0.5705639],5,16,14,10,[6.017993],267
[0.31288752],16,16,18,6,[5.9964733],268
[0.40576568],16,12,7,19,[5.9832754],269
[0.68839526],12,16,6,12,[5.210428],270
[0.32644445],12,16,15,12,[5.150888],271
[0.78415275],16,12,6,11,[6.020813],272
[0.33694223],5,16,5,1,[4.7549505],273
[0.41472158],12,1,12,1,[4.684366],274
[0.7295249],16,12,10,6,[6.0108557],275
[0.40945405],12,12,17,19,[5.9917507],276
[0.6663239],12,12,10,8,[6.0159893],277
[0.44850653],16,1,10,7,[5.981106],278
[0.7079687],12,1,8,13,[6.0320663],279
[0.7339454],1,1,17,4,[6.0056973],280
[0.731637],5,1,5,7,[5.05863],281
[0.92022556],5,1,5,1,[4.1786423],282
[0.94787836],5,12,5,12,[4.2833714],283
[0.39426914],1,12,11,4,[5.987075],284
[0.8738843],5,1,7,5,[5.062661],285
[0.7147692],1,1,11,17,[6.0296803],286
[0.83238244],1,1,13,6,[6.0352197],287
[0.8535873],5,12,15,12,[5.168127],288
[0.8471965],1,1,16,10,[5.9630547],289
[0.8795904],1,12,12,1,[4.6759806],290
[0.80693895],1,1,8,10,[6.0335817],291
[0.6249421],1,1,13,18,[6.0048823],292
[0.5752741],1,1,17,2,[6.0004396],293
[0.8429054],1,1,8,1,[5.129794],294
[0.8748724],5,1,10,15,[6.0322394],295
[0.73012084],5,1,3,14,[6.0175486],296
[0.60957175],1,1,3,10,[5.9947386],297
[0.86189467],12,1,8,2,[6.013854],298
[0.6690094],1,1,17,4,[5.9757695],299
[0.5198024],1,1,10,16,[5.708807],300
[0.33103],5,12,15,2,[5.9973907],301
[0.45374686],5,1,19,14,[5.990691],302
[0.57434136],1,12,1,3,[5.129142],303
[0.64807075],1,1,1,15,[5.1461844],304
[0.5658412],5,1,5,8,[5.047573],305
[0.35247678],12,1,8,13,[6.020809],306
[0.38634646],16,1,6,19,[5.9841948],307
[0.62226677],16,12,2,16,[5.5842977],308
[0.617031],5,16,5,16,[4.6412787],309
[0.5825299],1,1,9,1,[5.1257706],310
[0.4374753],16,12,13,7,[5.9627476],311
[0.33745533],16,16,4,17,[5.8975067],312
[0.94098103],5,12,5,12,[4.123289],313
[0.53263444],1,16,1,17,[5.326913],314
[0.39095786],16,16,4,11,[5.888249],315
[0.9838758],1,5,15,1,[5.508533],316
[0.33461854],16,12,13,16,[5.2639875],317
[0.41530538],5,1,14,10,[6.026333],318
[0.5180008],1,1,2,9,[5.975321],319
[0.32210377],5,1,5,2,[5.0228004],320
[0.5408186],1,1,7,18,[5.9781027],321
[0.80872434],5,1,5,10,[5.0596485],322
[0.92313457],1,1,17,9,[6.043154],323
[0.5205616],1,1,13,15,[5.9997225],324
[0.7540269],12,1,2,19,[5.983573],325
[0.25533983],1,16,11,4,[5.7844605],326
[0.7769218],12,1,2,10,[5.980701],327
[0.46350357],16,1,3,7,[5.951562],328
[0.28719473],5,4,2,14,[5.989727],329
[0.7477415],16,1,7,6,[5.995364],330
[0.65207636],1,1,15,19,[6.0092564],331
[0.45129022],16,1,11,7,[5.958761],332
[0.67037565],5,1,5,11,[5.0623016],333
[0.43978336],1,1,1,10,[5.072082],334
[0.48820764],1,1,1,17,[5.0724525],335
[0.47331583],1,1,1,15,[5.067815],336
[0.33403388],4,4,2,6,[5.9362755],337
[0.6336571],4,5,14,11,[6.003177],338
[0.37895897],1,4,13,1,[5.1598763],339
[0.5873005],4,5,6,14,[6.0007877],340
[0.6196764],1,5,15,11,[6.010733],341
[0.3650156],4,4,19,7,[5.8828993],342
[0.34810108],5,4,5,13,[5.0421896],343
[0.7263595],1,1,6,8,[6.0229316],344
[0.5129215],5,16,5,16,[4.542948],345
[0.43273598],1,1,6,1,[5.0584984],346
[0.3224059],5,1,18,5,[5.0376267],347
[0.57113826],12,1,13,11,[5.9994364],348
[0.3187214],12,1,12,15,[5.1792846],349
[0.30067578],5,4,10,14,[5.993811],350
[0.26418605],4,16,11,4,[5.7223387],351
[0.2505676],5,4,14,19,[5.9643917],352
[0.25697362],16,4,16,10,[5.1566854],353
[0.389192],5,12,2,14,[5.885516],354
[0.28503338],1,16,9,1,[5.043639],355
[0.34591633],12,12,10,18,[5.984559],356
[0.56176925],16,12,7,13,[5.941062],357
[0.26901388],12,16,9,3,[5.9684887],358
[0.2567351],4,4,6,14,[5.974971],359
[0.31753373],12,4,14,2,[5.860894],360
[0.6087169],4,5,14,10,[5.976863],361
[0.29795],12,16,3,9,[5.9537697],362
[0.25684887],16,16,16,19,[5.093196],363
[0.32076737],12,16,9,2,[5.823421],364
[0.28879026],16,12,6,3,[5.972739],365
[0.26881844],16,4,15,11,[5.990796],366
[0.29336274],16,4,6,14,[5.9327707],367
[0.23792367],2,2,8,2,[5.6862297],368
[0.5361943],12,16,17,12,[5.3511095],369
[0.39107102],2,2,13,18,[5.9838467],370
